column,type,definition
contamination_source,Category,"Naturally contaminated, Artificially spiked, or Both."
target_metals,Text,Semicolon-separated metal symbols in a fixed PTE order.
n_metals,Integer,Number of target metals/metalloids.
initial_metal_concentration,Text,Cleaned initial soil metal concentrations. Units left as reported after ASCII normalization (mg/kg).
soil_ph,Number,Initial soil pH.
soil_ph_sd,Number,Reported SD of soil pH.
soil_ph_reported,Text,Cleaned reported soil pH.
biochar_application_rate,Text,Cleaned original application-rate string.
application_rate_pct_ww,Number,Application rate as % w/w when extractable. g/kg converted as value/10.
application_rate_t_ha,Number,Application rate in t/ha when reported (including Mg/ha).
soil_incubation,Text,Cleaned original incubation description.
soil_incubation_days,Number,"Incubation/equilibration time in days. None/immediate coded 0. Weeks x7, months x30, years x365."
plant_growth_period,Text,Cleaned original plant-growth duration.
plant_growth_days,Number,Plant growth period in days.
experimental_duration,Text,Cleaned original total duration.
experimental_duration_days,Number,Total experimental duration in days.
leafy_vegetable_species,Text,Harmonized Common name (Scientific name); semicolon-separated if multiple.
species_common,Text,Harmonized common names only.
species_scientific,Text,Harmonized scientific names only.
n_species,Integer,Number of vegetable species in the extraction.
edible_part,Category,"Shoot (leaves), Fruit/pods, or Mixed edible tissues."
soil_bioavailability_method,Text,Cleaned original bioavailability method.
bioavailability_method_std,Text,"Semicolon-separated controlled methods (DTPA, CaCl2, TCLP, BCR, Tessier, EDTA, etc.)."
change_in_soil_bioavailability,Text,Cleaned soil-bioavailability change. NR or Reported graphically if no usable number.
plant_metal_conc_control,Text,Cleaned control plant metal concentration.
plant_metal_conc_treated,Text,Cleaned treated plant metal concentration.
change_in_plant_metal_uptake,Text,Cleaned plant-uptake change.
bcf,Text,"Bioconcentration factor, cleaned. NR if not reported."
baf,Text,"Bioaccumulation factor, cleaned."
tf,Text,"Translocation factor, cleaned."
hq,Text,"Hazard quotient, cleaned."
hi,Text,"Hazard index, cleaned."
cr,Text,"Carcinogenic risk, cleaned."
bcf_reported,Category,"Yes, No, or Graphical only."
baf_reported,Category,"Yes, No, or Graphical only."
tf_reported,Category,"Yes, No, or Graphical only."
health_risk_reported,Yes/No,"Yes if HQ, HI, or CR was reported numerically or qualitatively."
immobilization_mechanism,Text,Cleaned original mechanism text.
mechanism_std,Text,Semicolon-separated controlled mechanisms for counting/plotting.
main_findings,Text,Cleaned main-findings sentence.
randomization_reported,Yes/No,Risk-of-bias item.
replication_reported,Yes/No,Risk-of-bias item.
control_treatment_present,Yes/No,Risk-of-bias item.
biochar_characterization_adequate,Yes/No/NR,Risk-of-bias item.
statistical_analysis_reported,Yes/No,Risk-of-bias item.
overall_risk_of_bias,Category,"Very low, Low, Moderate, or High."
reviewer_initials,Category,"Nelson, Oscar, or Emmy."
